Filename,Authors,Title,Year,Date,Source,Publisher,ArticleURL,Type,DOI,Volume,Issue,StartPage,EndPage,Additional Pages,USE_THIS,ReviewType,Project,
3406 Bände Wikipedia.PDF,,3406 Bände Wikipedia,2016,28-May,Frankfurter Rundschau,DPA,https://drive.google.com/file/d/1m6OfV9d5zbuyBHrCmZcGgdVQ21fTfPC1/view,Zeitung,,,,38,38,,TRUE,Several paragraphs,Print Wikipedia,
"Algotaylorism, plus Web la vie.PDF",Clémentine Mercier,"«Algotaylorism», plus Web la vie",2020,10-Mar,Libération,,https://drive.google.com/file/d/1WI5jVNhNHYNXR_5z0tjEOjPdPc6QwetM/view,Journal,,,,,,,TRUE,Several paragraphs,Postmodern Times,
Andy Warhol_ controversies and work of the father of contemporary art.PDF,,Andy Warhol: controversies and work of the father of contemporary art,,,CENFENG,,,Newspaper,,,,,,,FALSE,Several paragraphs,,
Andy Warhol_ polémicas y obra del padre del arte contemporáneo.PDF,,Andy Warhol: polémicas y obra del padre del arte contemporáneo,,,IAR,,,Publicación internet,,,,,,,FALSE,Several paragraphs,,
Artist Michael Mandiberg Debuts Print Wikipedia in New York City.PDF,,Artist Michael Mandiberg Debuts Print Wikipedia in New York City,2015,30-Jun,Entertainment Close-up,,,Newsletter,,,,,,,FALSE,Several paragraphs,Print Wikipedia,
Artist Michael Mandiberg presents installation in Berlin.PDF,Wolfgang Kumm,Artist Michael Mandiberg presents installation in Berlin,2016,27-May,European Press Agency (EPA),,,Images,,,,,,,TRUE,One sentence,Print Wikipedia,
BOOK BITES.PDF,"Tymon Smith, Andrea Nagel",BOOK BITES,2015,21-Jul,The Times (South Africa),,,Newspaper,,,,,,,TRUE,One sentence,Print Wikipedia,
Bildtext.PDF,,Bildtext,2016,28-May,Schwarzwälder Bote,,,Zeitung,,,,33,33,,FALSE,One sentence,Print Wikipedia,
Check Out One Artist's Attempt to Print Out The Entirety Of Wikipedia.PDF,Emma Whitford,Check Out One Artist's Attempt to Print Out The Entirety Of Wikipedia,2015,18-Jun,Gothamist,,,Web Blog,,,,,,,TRUE,Several paragraphs,Print Wikipedia,
"Cheeseburgers, Oil and Minimum Wage_ Building a Museum of Capitalism.PDF",Jennifer Schuessler,"Cheeseburgers, Oil and Minimum Wage: Building a Museum of Capitalism",2019,25-Nov,The New York Times - International Edition,,,Newspaper,,,,,,,TRUE,Several paragraphs,FDIC Insured,
"Chipping away at Wikipedia's gender bias, one article at a time.PDF",Kate Knibbs,"Chipping away at Wikipedia's gender bias, one article at a time",2014,10-Feb,The Daily Dot,,,Web Blog,,,,,,,TRUE,Full article,Art+Feminism,
Consigned to the Museum Heap of History.PDF,Jennifer Schuessler,Consigned to the Museum Heap of History,2019,14-Nov,The New York Times,,,Newspaper,,,,1,1,,TRUE,Several paragraphs,FDIC Insured,
Così l'arte contemporanea mette in scena la crisi.PDF,irene opezzo,Così l'arte contemporanea mette in scena la crisi,2017,26-Jun,La Stampa,,,Giornale,,,,37,37,,TRUE,Several paragraphs,FDIC Insured,
De toekomst herhaalt zich in het Evoluon.PDF,Gijsbert van Es,"""De toekomst herhaalt zich in het Evoluon""",2022,22-Sep,NRC,,,Web Publication,,,,,,,TRUE,One sentence,Print Wikipedia,
