Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Term,USE_THIS,Is Term,Original Sort Order,Check Fulltext,ReviewType,Project,local_filename,culled_type,culled_term,culled_date,culled_COMMENTS,missing,IS_DISS,TITLE3,TITLE3_nospace,IS_DISS_TITLE,full_auth,AUTH,IS_AUTH,IS_DISS_AUTH,pq_Title,pq_Authors,pq_documentType,pq_elecPubDate,pq_entryDate,pq_issue,pq_pages,pq_placeOfPublication,pq_pubdate,pq_pubtitle,pq_year,pq_volume,Filename,Date,Additional Pages,ReviewType.1,Chapter,Chapter_Auth,special,downloaded
12.0,"L March, S Dasgupta",Wikipedia edit-a-thons as sites of public pedagogy,2020,Proceedings of the ACM on Human-Computer Interaction,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3415171?casa_token=VF1N9pA_WCEAAAAA:bEDVtD5z5DvelKt8iThJZ6mxh7TTYLYj-VUwcMT4HaQjTiR3XaYUDHJ-eepuBGgolAOHFsw0sz8J,"https://scholar.google.com/scholar?cites=17637563154317768485&as_sdt=2005&sciodt=0,5&hl=en",70.0,##########,,10.1145/3415171,,,,,,,12.0,3.0,6.0,2.0,4.0," joined Wikipedia as part of an Art+Feminism event  Wikipedia, Phetteplace [44] argues that while librarians have been wary of Wikipedia in the past, hosting events like Art+Feminism is ",https://dl.acm.org/doi/pdf/10.1145/3415171?casa_token=uLI5M9FxoGUAAAAA:QWehtOk-fqC63BrvKxF9uDs11Fwlp1zdNaMRZVZqOBkkMnOU_fsMDB8zP0XOBe5-piagHNic0hOz,,Art+Feminism,True,TRUE,70.0,,case study,Art+Feminism,L_March__S_Dasgupta_Wikipedia_edit-a-thons_as_sites_of_public_pedagogy.pdf,0,0,##,maybe only discussion,,False,Wikipedia edit-a-thons as ,Wikipedia edit-a-thons as,False,L March,March,,False,,,,,,,,,,,,,,,,,,,,False
6.0,R Wexelbaum,Coming out of the closet: Librarian advocacy to advance LGBTQ+ Wikipedia engagement,2019,LGBTQ+ librarianship in the 21st century: Emerging …,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/S0065-283020190000045011/full/html,"https://scholar.google.com/scholar?cites=4018691043411235458&as_sdt=2005&sciodt=0,5&hl=en",73.0,##########,,10.1108/S0065-283020190000045011,,,,,,,6.0,1.0,6.0,1.0,5.0," She also counted the number of Art + Feminism and Wiki  Last but not least, the author reviewed Wikipedia Category lists  about Wikipedia in a massive WebJunction course “Wikipedia ",,,Art+Feminism,True,TRUE,73.0,,case study,Art+Feminism,R_Wexelbaum_Coming_out_of_the_closet_Librarian_advocacy_to_advance_LGBTQ+_Wikipedia_engagement.pdf,0,0,##,,,False,Coming out of ,Coming out of,False,R Wexelbaum,Wexelbaum,,False,,,,,,,,,,,,,,,,,,,,False
0.0,О Чепелик,Арт+ фемінізм 2020: український і світовий контексти,2020,Мистецтвознавство України,mystukr.mari.kyiv.ua,http://mystukr.mari.kyiv.ua/article/view/220928,,434.0,##########,,,,,,,,,0.0,0.0,0.0,1.0,4.0," художниць, яка представлена в проекті “Art + Feminism 2020ˮ. Її творчість і проект “ The fruitfulness of efforts to reduce the gender gap in Wikipedia in order to highlight the ",http://mystukr.mari.kyiv.ua/article/download/220928/224637,,Art+Feminism,True,TRUE,434.0,,case study,Art+Feminism,О_Чепелик_Арт+_фемінізм_2020_український_і_світовий_контексти.pdf,0,0,0,,,False,Арт+ фемінізм 2020: ,Арт+ фемінізм 2020:,False,О Чепелик,Чепелик,,False,,,,,,,,,,,,,,,,,,,,False
9.0,A Duncan,Towards an activist research: Is Wikipedia the problem or the solution?,2020,Art Libraries Journal,cambridge.org,https://www.cambridge.org/core/journals/art-libraries-journal/article/towards-an-activist-research-is-wikipedia-the-problem-or-the-solution/E64AB42125CBB06DB7853286B2569308,"https://scholar.google.com/scholar?cites=13929843476719174658&as_sdt=2005&sciodt=0,5&hl=en",10.0,##########,,,,,,,,,9.0,2.0,9.0,1.0,4.0," , one is obligated to reference Wikipedia, the 5th most visited  : 80% of the global content of Wikipedia is written by white men  organization Art + Feminism notes (in relation to Wikipedia ",https://ualresearchonline.arts.ac.uk/id/eprint/16296/3/Towards%20an%20activist%20research_Wikipedia.pdf,,Art+Feminism,True,TRUE,10.0,,case study,Art+Feminism,A_Duncan_Towards_an_activist_research_Is_Wikipedia_the_problem_or_the_solution.pdf,0,0,0,,,True,Towards an activist ,Towards an activist,True,A Duncan,Duncan,,True,Towards an activist research: Is Wikipedia the problem or the solution?,"Duncan, Alexandra", Journal Article,0, Oct 2020,4.0, 155-161, Cambridge,Oct 2020,Art Libraries Journal,2020.0,45.0,,,,,,,,False
24.0,"A Pratesi, W Miller, E Sutton",Democratizing knowledge,2019,The Radical Teacher,JSTOR,https://www.jstor.org/stable/48694633,"https://scholar.google.com/scholar?cites=78789634851080516&as_sdt=2005&sciodt=0,5&hl=en",38.0,##########,,,,,,,,,24.0,5.0,8.0,3.0,5.0, The course Creating Wikipedia for the Arts prepared students to host an Art+Feminism Wikipedia Edit-a-thon during which they taught participants about Wikipedia and how to edit it. ,https://scholarworks.uni.edu/cgi/viewcontent.cgi?article=1009&context=art_facpub,,Art+Feminism,True,TRUE,38.0,,case study,Art+Feminism,A_Pratesi__W_Miller__E_Sutton_Democratizing_knowledge.pdf,0,0,0,,,True,Democratizing knowledge,Democratizing knowledg,True,A Pratesi,Pratesi,,True,Democratizing Knowledge: Using Wikipedia for Inclusive Teaching and Research in Four Undergraduate Classes,"Pratesi, Angela;Miller, Wendy;Sutton, Elizabeth", Journal Article,0, Summer 2019,114.0, 22-33, Brooklyn,Summer 2019,Radical Teacher,2019.0,0.0,,,,,,,,False
3.0,AK Hamlin,Writing women artists into Wikipedia,2020,Extraordinary partnerships: How the Arts and Humanities are Transforming America Christine Henseler.,books.google.com,https://books.google.com/books?hl=en&lr=&id=qDfnDwAAQBAJ&oi=fnd&pg=PA119&dq=%22art+feminism%22+wikipedia&ots=f-YV1egY4G&sig=GV4qeFke2LiZlTjwmmEB1qbbD1c,"https://scholar.google.com/scholar?cites=4584059503148428969&as_sdt=2005&sciodt=0,5&hl=en",5.0,##########,HTML,,,,,,,,3.0,1.0,3.0,1.0,4.0," Earlier in the semester, when I announced to the class that we would host an Art+ Feminism Wikipedia Edit-a-thon at St. Kate’s in the spring, I was not at all confident that turnout would ",https://books.google.com/books?hl=en&lr=&id=qDfnDwAAQBAJ&oi=fnd&pg=PA119&dq=%22art+feminism%22+wikipedia&ots=f-YV1egY4G&sig=GV4qeFke2LiZlTjwmmEB1qbbD1c,,Art+Feminism,True,TRUE,5.0,,case study,Art+Feminism,AK_Hamlin_Writing_women_artists_into_Wikipedia.pdf,0,0,##,,,False,Writing women artists ,Writing women artists,False,AK Hamlin,Hamlin,,False,,,,,,,,,,,,,,,,,,,,False
9.0,AK Hamlin,"Approaching intellectual emancipation: Critical reading in art, art history, and Wikipedia",2017,Critical reading across the curriculum: Humanities,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119154907.ch6,"https://scholar.google.com/scholar?cites=10360449073212838580&as_sdt=2005&sciodt=0,5&hl=en",3.0,12/23/24 20:52,,10.1002/9781119154907.ch6,,,,,,,9.0,1.29,9.0,1.0,7.0," Each part of the assignment can function, however, independent of the Art+Feminism enterprise, and I imagine that the Wikipedia assignment as a whole is transferable to a variety of art ",,,Art+Feminism,True,TRUE,3.0,,case study,Art+Feminism,"AK_Hamlin_Approaching_intellectual_emancipation_Critical_reading_in_art,_art_history,_and_Wikipedia.pdf",0,0,0,need PDF to verify,Institutional login,False,Approaching intellectual emancipation: ,Approaching intellectual emancipation:,False,AK Hamlin,Hamlin,,False,,,,,,,,,,,,,,,,,,,,False
4.0,C Baron,"From “Don't Use It” to “Let's Edit!” Using Wikipedia to Teach the ARLIS/NA Art, Architecture, and Design Information Competencies",2020,Art Documentation: Journal of the Art Libraries Journal of the Art Libraries,journals.uchicago.edu,https://www.journals.uchicago.edu/doi/abs/10.1086/711302,"https://scholar.google.com/scholar?cites=4480346194154075426&as_sdt=2005&sciodt=0,5&hl=en",17.0,##########,,10.1086/711302,,,,,,,4.0,1.0,4.0,1.0,4.0," of the Art+Feminism Wikipedia Edit-a-thons, the author demonstrates how art librarians can build upon the success of these events and outreach initiatives to incorporate Wikipedia into ",https://ir.library.louisville.edu/cgi/viewcontent.cgi?article=1785&context=faculty,,Art+Feminism,True,TRUE,17.0,,case study,Art+Feminism,"C_Baron_From_“Dont_Use_It”_to_“Lets_Edit!”_Using_Wikipedia_to_Teach_the_ARLISNA_Art,_Architecture,_and_Design_Information_Competencies.pdf",0,0,##,,,False,From “Don't Use ,From “Don't Use,False,C Baron,Baron,,True,,,,,,,,,,,,,,,,,,,,False
12.0,E Phetteplace,How can libraries improve Wikipedia?,2015,Reference and User Services Quarterly,JSTOR,https://www.jstor.org/stable/pdf/refuseserq.55.2.109.pdf,"https://scholar.google.com/scholar?cites=17133157676612079275&as_sdt=2005&sciodt=0,5&hl=en",47.0,##########,,,,,,,,,12.0,1.0,12.0,1.0,9.0, runs Wikipedia often supports events and sends staff to them. After we corresponded with the people coordinating Art+Feminism in  The Art+Feminism project recommended giving all ,https://alatmp.sfulib5.publicknowledgeproject.org/index.php/rusq/article/view/5857/7374,,Art+Feminism,True,TRUE,47.0,,case study,Art+Feminism,E_Phetteplace_How_can_libraries_improve_Wikipedia.pdf,0,Art+Feminism,0,,,True,How can libraries ,How can libraries,True,E Phetteplace,Phetteplace,,True,How Can Libraries Improve Wikipedia?,"Phetteplace, Eric", Journal Article,0, Winter 2015,2.0, 109-112, Chicago,Winter 2015,Reference & User Services Quarterly,2015.0,55.0,,,,,,,,False
4.0,"E Spiro, YY Ahn","Social Informatics: 8th International Conference, SocInfo 2016, Bellevue, WA, USA, November 11-14, 2016, Proceedings, Part II",2016,,books.google.com,https://books.google.com/books?hl=en&lr=&id=3kRrDQAAQBAJ&oi=fnd&pg=PR5&dq=%22art+feminism%22+wikipedia&ots=cmyE0jqqrB&sig=Ge-n0-ilzXL0vabtErQyrhDSRq8,"https://scholar.google.com/scholar?cites=2557031107312555298&as_sdt=2005&sciodt=0,5&hl=en",353.0,12/23/24 20:52,BOOK,,,,,,,,4.0,0.5,2.0,2.0,8.0," A Case Study of Impact of Wikipedia Art + Feminism Edit-A-Thon Events on Newcomers. Rosta Farzan, Saiph Savage, and Claudia Flores Saviaga ",,,[],True,TRUE,353.0,,case study,Art+Feminism,"E_Spiro__YY_Ahn_Social_Informatics_8th_International_Conference,_SocInfo_2016,_Bellevue,_WA,_USA,_November_11-14,_2016,_Proceedings,_Part_II.pdf",0,0,0,,0,False,Social Informatics: 8th ,Social Informatics: 8th,True,E Spiro,Spiro,,False,,,,,,,,,,,,,,,,,,,,False
