Authors,Title,Year,Source,Term
"A Arora, R West, M Gerlach",Orphan Articles: The Dark Matter of Wikipedia,2024,Proceedings of the Eighteenth International AAAI Conference on Web and Social Media (ICWSM 2024),Art+Feminism
A Burkhardt,Dialing Up the Volume.,2022,Appalachian Journal,Art+Feminism
"A Collier, SL Watulak",Critical Digital Pedagogy Across Learning Ecologies,2023,Critical Digital Pedagogy in Higher Education,Art+Feminism
Á Conlon,Capturing art: exploring the role of the academic art librarian in the modern world,2020,"Capturing Art: Exploring the Role of the Academic Art Librarian in the
Modern World",Art+Feminism
A Duncan,Towards an activist research: Is Wikipedia the problem or the solution?,2020,Art Libraries Journal,Art+Feminism
"A Duncan, V Eades-Miller, A Ramejkis",Opening Spaces for Creative and Critical Enquiry,2022,Narrative Expansions: Interpreting …,Art+Feminism
A Foster-Kaufman,Wikipedia-based assignments and critical information literacy: A case study,2019,Wikipedia-Based Assignments and Critical Information Literacy,Art+Feminism
"A Kraft, E Soulier",Knowledge-Enhanced Language Models Are Not Bias-Proof: Situated Knowledge and Epistemic Injustice in AI,2024,"The 2024 ACM Conference on Fairness, Accountability, and Transparency",Art+Feminism
"A Kraft, R Usbeck","The lifecycle of"" facts"": A survey of social bias in knowledge graphs",2022,arXiv preprint arXiv:2210.03353,Art+Feminism
A Lockett,The traditional research paper is best,2017,BAD IDEAS,Art+Feminism
"A Lockett, RD Babcock, DA Hart","Defining Access to Undergraduate Research in Writing Studies: A Proposed Model for Increasing Support, Opportunity, and Participation",2021,"Defining Access to Undergraduate Research in Writing Studies: A Proposed Model for Increasing Support, Opportunity, and Participation",Art+Feminism
A Matsuuchi,Connecting Wikipedia and the Archive: Building a Public History of HIV/AIDS in New York City.,2017,WikiStudies,Art+Feminism
"A Nolte, IA Chounta, JD Herbsleb",What happens to all these hackathon projects? Identifying factors to promote hackathon project continuation,2020,Proceedings of the ACM on Human …,Art+Feminism
A Pawłowska,What is History of Art in the 20 th and 21 st Century–a Few Theoretical Problems,2019,"What is History of Art in the 20th and 21st
Century – a Few Theoretical Problems",Art and Feminism
"A Pratesi, W Miller, E Sutton",Democratizing knowledge,2019,The Radical Teacher,Art+Feminism
A Provo,Semantic Encyclopedias and Boolean Dreams,2022,KULA,Art+Feminism
"A Ramejkis, V Eades-Miller, A Duncan",Opening Spaces for Creative and Critical Enquiry,2022,Opening spaces for creative and critical inquiry,Art+Feminism
"A Sharrocks, C Qualmann",Walking women: A study room guide on women using walking in their practice,2017,"WALKING WOMEN
A Study Room Guide on women using walking
in their practice",Art+Feminism
"A Stinson, J Evans",Bringing Wiki (p/m) edians into the Conversation at Libraries,2018,"""Leveraging Wikipedia: Connecting Communities of Knowledge""",Art+Feminism
A Washko,From webcams to Wikipedia,2016,"There Is An Art & Feminism Online Social Movement
 Happening and It Is Not Going Away
",Art+Feminism
A Washko,From webcams to wikipedia there is an art &feminism online social movement: Happening and it is not going away,2016,"Nordisk Tidsskrift for Informationsvidenskab og Kulturformidling, årg. 5, nr. 1, 2016",Art+Feminism
AD Purcell,"IAWA Archivist's Report, 2018",2018,"IAWA Archivist’s Report, January-December 2018",Art+Feminism
AG Dastider,"A Brief Analysis of Bengali Wikipedia's Journey to 100,000",2021,"A Brief Analysis of Bengali Wikipedia’s Journey to 100,000
Articles",Art+Feminism
AK Hamlin,Beyond Survival in Art and Art History: Fifteen Futures Already Alive,2019,Art Journal Open,Art+Feminism
AK Hamlin,Writing women artists into Wikipedia,2020,Extraordinary partnerships: How the Arts and Humanities are Transforming America Christine Henseler.,Art+Feminism
"AM Furness, P Poletto",Extending the Conversation: Art Gallery of Ontario Artists in Residence and the Edward P. Taylor Library &Archives,2024,International Journal of Librarianship,Art+Feminism
"B Madden, A Scholten",Cookbook of Remote and Hybrid Instructional Strategies in Art History,2020,"Cookbook of Remote and Hybrid
Instructional Strategies in Art History",Art+Feminism
"B Melis, M Fioravanti, C Paolini, D Metilli",How have you modelled my gender? Reconstructing the history of gender representation in Wikidata,2024,Internet Histories,Art+Feminism
BM Koteeswaran,Bridging the Gender Gap,2021,Bridging the Gender Gap,Art+Feminism
BM Smith Flores,Decolonial Perspectives: Insights from Afro-Latin Museological Practice,2023,Insights from Afro-Latin Museological Practice,Art+Feminism
BMS Flores,Decolonial Perspectives: Insights From Afro-Latin Museological Practice,2023,Insights from Afro-Latin Museological Practice,Art+Feminism
"BP Fiedler, R Mitola, J Cheng",Responding to hate: How national and local incidents sparked action at the UNLV University Libraries,2020,Reference Services Review,Art+Feminism
C Ball,Using Wikipedia to explore issues of systemic bias and symbolic annihilation in information sources,2021,"Using Wikipedia to Explore Issues of Systemic Bias and
Symbolic Annihilation in Information Sources. Caroline Ball",Art+Feminism
