Filename,Authors,Title,Year,Date,Source,Publisher,ArticleURL,Type,DOI,Volume,Issue,StartPage,EndPage,Additional Pages,USE_THIS,ReviewType,Project
Copycat' @ SF State - Squarecylinder.com – Art Reviews _ Art Museums _ Art Gallery Listings Northern California.pdf,,Copycat,,,Squarecylinder.com,,,,,,,,,,TRUE,paragraph,
The Art of Reading_ From William Kentridge to Wikipedia’ - Khatt Foundation.pdf,,The Art of Reading_ From William Kentridge to Wikipedia',,,Khatt Foundation,,,,,,,,,,TRUE,,
Wikipedia Edit-a-thon' in Surrey aims to correct 'significant gender gap' on online encyclopedia. - Document - Gale OneFile_ News.pdf,Tom Zillich,Wikipedia Edit-a-thon' in Surrey aims to correct 'significant gender gap' on online encyclopedia,2022,45333,Surrey Leader,CNW Group Ltd. - Black Press Inc.,,,,,,,,,TRUE,Full article,
1470412917703154.pdf,Margaret Hillenbrand,"Remaking Tank Man, in China",,,journal of visual culture,,,,10.1177/1470412917703154,16,2,131,167,,TRUE,Several paragraphs,"Ink History, Forbidden City, Mirrors"
2016_issue_layout_4-20 digital publishing_under 10 mb.pdf,"Kofi Boone, Molly Hemstreet, Janet Kagan, Adam Levin, D.W. Gibson, Blake Montieth, Chris Bendix & Joe Seymour, et al.",Carolina Planning Journal : Volume 41,2016,,Carolina Planning Journal,,,,,41,,,,,TRUE,,
220928-Текст статті-508897-1-10-20210204.pdf,Жана Бусуттіл Залеські,Арт + фемі-нізм 2020,2021,"4, February",Doi,,,,,,,,,,TRUE,full article,
978-3-030-83255-1.pdf,,,,,Springer,,,,,,,,,,TRUE,,
AAP - Open Call Library of Artistic Print-on-Demand. Collection & Research.pdf,,AAP Archive Artist Publications,,,www.artistbooks.de,,,,,,,,,,TRUE,,
AF_2021_NYT.pdf,,Put your editing skills to the test with the National Museum of Women in the Arts’s Wikipedia Art and Feminism virtual edit-a-thon,2021,Saturday,The New York Times,,,,,,,,,,TRUE,One sentence,
AF_WSJ_2016.pdf,"CEMBALEST, ROBIN",Museums Open Up to Power of Wiki,2015,"12, October",Wall Street Journal,,,,,266,87,A17,A21,2,TRUE,paragraph,Art+Feminism
AF_time.pdf,,Check out a sample of the women artists who have been added to the annals of Wikipedia art history.,,,Time Magazine,,,,,,,,,,TRUE,One sentence,Art+Feminism
ASU_PW.pdf,Tanner Stechnij,In the Stacks: Print Wikipedia' displays knowledge as art,,,"The State Press, Arizona State University",,,,,,,,,,TRUE,several paragraphs,Print Wikipedia
Adversarial_Design_----_(Extensions_as_Interventions).pdf,,,,,ebookcentral,,,,,,,,,,TRUE,,
