Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Term,USE_THIS,Is Term,Original Sort Order,Check Fulltext,ReviewType,Project,local_filename,culled_type,culled_term,culled_date,culled_COMMENTS,missing,Filename,Date,Additional Pages,Unnamed: 18,special
2.0,"A Arora, R West, M Gerlach",Orphan Articles: The Dark Matter of Wikipedia,2024,Proceedings of the Eighteenth International AAAI Conference on Web and Social Media (ICWSM 2024),ojs.aaai.org,https://ojs.aaai.org/index.php/ICWSM/article/view/31300,"https://scholar.google.com/scholar?cites=11639939125158428196&as_sdt=2005&sciodt=0,5&hl=en",178.0,##########,,,,,,,,,2.0,2.0,1.0,3.0,1.0,"… In fact, it has been shown that community-organized campaigns such as Art+Feminism are very successful at improving the content of articles about women; but are less successful at …",https://ojs.aaai.org/index.php/ICWSM/article/download/31300/33460,,Art+Feminism,True,TRUE,178.0,,mention,Art+Feminism,A_Arora__R_West__M_Gerlach_Orphan_Articles_The_Dark_Matter_of_Wikipedia.pdf,0,Art+Feminism,##,,,,,,,
0.0,A Burkhardt,Dialing Up the Volume.,2022,Appalachian Journal,search.ebscohost.com,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=00903779&asa=N&AN=160721323&h=xWAdUpVF5IEDPiykxladZmXaZKxpdUOrB7g4P0UINGAqx33dV2XIK7G6ehncKI2sXz1ORfNXBCvpEum3LKIHOA%3D%3D&crl=c,,219.0,##########,,,,,,,,,0.0,0.0,0.0,1.0,2.0,"… Edit-a-thon"", event by Art + Feminism, a nonprofit organization focused on amplifying women … uses Wikipedia Edit-a-thons, help people become familiar with Wikipedia and how it works. …",,,Art+Feminism,True,TRUE,219.0,,review,Art+Feminism,A_Burkhardt_Dialing_Up_the_Volume..pdf,0,0,0,,Keyword not found,,,,,
2.0,"A Collier, SL Watulak",Critical Digital Pedagogy Across Learning Ecologies,2023,Critical Digital Pedagogy in Higher Education,degruyter.com,https://www.degruyter.com/document/doi/10.15215/aupress/9781778290015.014/pdf?licenseType=restricted,"https://scholar.google.com/scholar?cites=14506044521785786756&as_sdt=2005&sciodt=0,5&hl=en",131.0,##########,,10.15215/aupress/9781778290015.014,,,,,,,2.0,2.0,1.0,2.0,1.0,"… For example, several students who participated in the NOW project went on to join the Art+Feminism Wikipedia edit- a- thon to add more feminist content on topics that they were …",https://www.aupress.ca/app/uploads/120310_Koseoglu_et_al_2023-Critical_Digital_Pedagogy_in_Higher_Education.pdf#page=225,,Art+Feminism,True,TRUE,131.0,,review,Art+Feminism,A_Collier__SL_Watulak_Critical_Digital_Pedagogy_Across_Learning_Ecologies.pdf,0,Art+Feminism,0,,,,,,,
0.0,Á Conlon,Capturing art: exploring the role of the academic art librarian in the modern world,2020,"Capturing Art: Exploring the Role of the Academic Art Librarian in the
Modern World",esource.dbs.ie,https://esource.dbs.ie/bitstream/10788/4182/1/msc_conlon_a_2020.pdf,,314.0,##########,PDF,,,,,,,,0.0,0.0,0.0,1.0,4.0,"… as Art+Feminism’s Wikipedia edit-a-thons (Art+Feminism, 2020) to teaching critical information literacy through a variety of creative outlets such as object based learning, which by its …",https://esource.dbs.ie/bitstream/10788/4182/1/msc_conlon_a_2020.pdf,,Art+Feminism,True,TRUE,314.0,,mention,Art+Feminism,0,0,0,0,,,,,,,
9.0,A Duncan,Towards an activist research: Is Wikipedia the problem or the solution?,2020,Art Libraries Journal,cambridge.org,https://www.cambridge.org/core/journals/art-libraries-journal/article/towards-an-activist-research-is-wikipedia-the-problem-or-the-solution/E64AB42125CBB06DB7853286B2569308,"https://scholar.google.com/scholar?cites=13929843476719174658&as_sdt=2005&sciodt=0,5&hl=en",10.0,##########,,,,,,,,,9.0,2.0,9.0,1.0,4.0,"… , one is obligated to reference Wikipedia, the 5th most visited … : 80% of the global content of Wikipedia is written by white men … organization Art + Feminism notes (in relation to Wikipedia …",https://ualresearchonline.arts.ac.uk/id/eprint/16296/3/Towards%20an%20activist%20research_Wikipedia.pdf,,Art+Feminism,True,TRUE,10.0,,0,0,0,0,0,0,,Keyword not found,,,,,
2.0,"A Duncan, V Eades-Miller, A Ramejkis",Opening Spaces for Creative and Critical Enquiry,2022,Narrative Expansions: Interpreting …,cambridge.org,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4270DD4CC6A112CB5EEB3814E5CDB447/stamped-9781783304998c10_p139-152_CBO.pdf/opening-spaces-for-creative-and-critical-enquiry.pdf,"https://scholar.google.com/scholar?cites=6388076740209491068&as_sdt=2005&sciodt=0,5&hl=en",164.0,##########,,,,,,,,,2.0,0.0,1.0,3.0,,"… Wikipedia Art+Feminism edit-a-thons, a sense they were the sort of thing librarians ought to be doing. The statistics on the Art+Feminism organisation website (Art+Feminism, … Wikipedia …",,,Art+Feminism,True,TRUE,164.0,,0,Art+Feminism,A_Duncan__V_Eades-Miller__A_Ramejkis_Opening_Spaces_for_Creative_and_Critical_Enquiry.pdf,0,Art+Feminism,##,Ed. Book,No pdf,,,,,
8.0,A Foster-Kaufman,Wikipedia-based assignments and critical information literacy: A case study,2019,Wikipedia-Based Assignments and Critical Information Literacy,wakespace.lib.wfu.edu,https://wakespace.lib.wfu.edu/handle/10339/94124,"https://scholar.google.com/scholar?cites=7788686036934544948&as_sdt=2005&sciodt=0,5&hl=en",101.0,##########,,,,,,,,,8.0,2.0,8.0,1.0,5.0,LIB 100’s Wikipedia-based assignments made a good case … added fifty-five Wikipedia articles on worthy biographical … and systemic bias using Wikipedia as a case study and …,https://wakespace.lib.wfu.edu/bitstream/handle/10339/94124/Chapter%2014.%20Wikipedia-Based%20Assignments%20and%20Critical%20Information%20Literacy.pdf,,Art+Feminism,True,,101.0,,mention,Art+Feminism,A_Foster-Kaufman_Wikipedia-based_assignments_and_critical_information_literacy_A_case_study.pdf,0,0,0,,,,,,,
0.0,"A Kraft, E Soulier",Knowledge-Enhanced Language Models Are Not Bias-Proof: Situated Knowledge and Epistemic Injustice in AI,2024,"The 2024 ACM Conference on Fairness, Accountability, and Transparency",dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3630106.3658981,,236.0,##########,,10.1145/3630106.3658981,,,,,,,0.0,0.0,0.0,2.0,1.0,"… Networks like Art+Feminism33 and FemNetz34 provide safe spaces for Wikipedia contributors with feminist visions. They organize regular events, eg edit-a-thons, to improve the …",https://dl.acm.org/doi/pdf/10.1145/3630106.3658981,,Art+Feminism,True,TRUE,236.0,,mention,Art+Feminism,0,0,0,##,,,,,,,
8.0,"A Kraft, R Usbeck","The lifecycle of"" facts"": A survey of social bias in knowledge graphs",2022,arXiv preprint arXiv:2210.03353,arxiv.org,https://arxiv.org/abs/2210.03353,"https://scholar.google.com/scholar?cites=12193624678752183783&as_sdt=2005&sciodt=0,5&hl=en",294.0,##########,,,,,,,,,8.0,4.0,4.0,2.0,2.0,"… Wikipedia, where the top five languages (English, Cebuano, German, Swedish, and French) constitute 35% of all articles on this platform.It can be said that Wikipedia … , the Art+Feminism …",https://arxiv.org/pdf/2210.03353,,Art+Feminism,True,TRUE,294.0,,mention,Art+Feminism,0,0,0,0,,,,,,,
6.0,A Lockett,The traditional research paper is best,2017,BAD IDEAS,textbooks.lib.wvu.edu,http://textbooks.lib.wvu.edu/badideas/badideasaboutwriting-book.pdf#page=247,"https://scholar.google.com/scholar?cites=9157525941329292888&as_sdt=2005&sciodt=0,5&hl=en",174.0,##########,PDF,,,,,,,,6.0,1.0,6.0,1.0,7.0,"… source, collaborative archives like Wikipedia, which models an … Wikipedia edit-a-thons sponsored by Art+ Feminism. Research 2.0—be it delivered through a paper, ePortfolio, Wikipedia…",http://textbooks.lib.wvu.edu/badideas/badideasaboutwriting-book.pdf#page=247,,Art+Feminism,True,TRUE,174.0,,mention,Art+Feminism,0,0,0,0,,Keyword not found,,,,,
