Authors,Title,Year,Source,Term
,,,Springer,[]
,,,ebookcentral,[]
,,,Economist,[]
,,,Burlington Contemporary,[]
,,,go-gale-com.ezproxy,[]
,,,hybridpedagogy,[]
,,,spark-artfair,[]
,,,Forgery and Appropriation in Art,[]
,,,,[]
,,,inverse,[]
,,,books-on-books,[]
,,,medium,[]
,,,elpais,[]
,,,search.worldcat,[]
,,,wjs,[]
,,,PROQUEST,[]
,,,edusol,[]
,,,Artland,[]
,,,springerin,[]
,,,Nordisk,[]
,,,Dailymail,[]
,,,creativecommons,[]
,,,Wildcat Arizona,[]
,,,Bloomberg,[]
,,,BLOUINARTINFO,[]
,,,Carolina Planning Journal,[]
,,,thepaper,[]
