Authors,Title,Year,Source
О Чепелик,Арт+ фемінізм 2020: український і світовий контексти,2020
IF Machado,"A elas, o protagonismo: um estudo sobre o projeto Art+ Feminism e as novas representações de mulheres artistas",2015
"NE Osadebe, SC Ukwoma, EO Njoku…",Wikipedia edit-a-thon in a Nigerian academic library.,2022
S Wyer,"Folk Networks, Cyberfeminism, and Information Activism in the Art+ Feminism Wikipedia Edit-a-thon Series",2017
"LM Bridges, C Llebot",Los bibliotecarios como organizadores del movimiento Wikimedia en España: una investigación interpretiva que explora las actividades y sus motivaciones,2021,First Monday
A Matsuuchi,Connecting Wikipedia and the Archive: Building a Public History of HIV/AIDS in New York City.,2017,WikiStudies
"C Baron, O Eckert",The Kentucky Women Artists Timeline,2021,ThinkIR: The Univ ThinkIR: The University of Louisville ersity of Louisville's Institutional Reposit s Institutional Repository
C MacArthur,The Effects of Ambiguity: A Feminist Study of Human Signifiers in Human-Computer Interaction,2016,"The Effects of Ambiguity:
A Feminist Study of Human Signifiers in
Human-Computer Interaction"
C Meyer,"“If You Want to Change the World, Edit Wikipedia”: Mitigating the Gender Gap and Systemic Bias on Wikipedia",2022,Mitigating the Gender Gap and Systemic Bias on Wikipedia
C MEYER,"Uncovering Women's Stories: She Said, but Not According to Wikipedia",nan,Women Advancing Knowledge Equity
D Gaertner,# HonouringIndigenousWriters: Visiting with and through Indigenous Literatures in the “Digital Turn”,2023,Transmotion
"E Baker, L McNamara, B Mackay, K Vincent","How to contribute climate change information to Wikipedia: a guide for researchers, practitioners and communicators",2020,"HOW TO CONTRIBUTE CLIMATE CHANGE
INFORMATION TO WIKIPEDIA "
"E Brown, JE Pierce, L Chapin, A Nguyen, J Kramer…",161 SCHOLARLY COMMUNICATION Open access,2022,Association o f College & Research Libraries
"E Covington, D Arbino, G Bastone, E Gerberich…",DAC Blog 2021-03,2021,"University of TexasLibraries Diversity Action
Committee"
E Joud,L'expérience de contribution non monétaire,2021,L’expérience de contribution non monétaire
G Purchio,Check Out the Library,2019,Humboldt State University Library
"JEG Acevedo, S Savage",AI-powered Chatbot for New Wikipedia Editors,2024,"AI-powered Chatbot for New Wikipedia
Editors"
L Agius,The Malta Artpaper: No. 13: December 2020-March 2021,2020,The Malta artpaper
"L PRINCIPI, E RODRIGUEZ, J REYES",Journalist receives Hearst Award,2020,core.ac.uk
"L ROSSENOVA, K DI FRANCO","Remembering and recognizing do not take care of, or satisfy, or in any other way reduce one's responsibilities; rather, like all intra-actions, they extend the …",nan,artic.edu
"MA Vetter, J Andelfinger, S Asadolahi, W Cui, J Jiang…",The Journal of Multimodal Rhetorics,2018,journalofmultimodalrhetorics.com
MC Locay,A Reflection on the Dialectical Relationship of Librarian| Teacher: The Need for Pedagogical Training in Core MLIS Curriculum,2021,"A Reflection on the Dialectical Relationship of Librarian | Teacher:
The Need for Pedagogical Training in Core MLIS Curriculum"
"NB Thylstrup, D Agostinho, KE Veel…","Infrapolitics, Archival infrastructures and Digital Reparative Practices",2024,… Interventions in Praxis
"R Sliger Krause, J Rosenzweig…",Out of the vault: Developing a Wikipedia edit-a-thon to enhance public programming for university archives and special collections,2017,Journal of Western Archives
"R Thorndike-Breeze, GK Suiter",Hacking academic collaboration with GLAM Edit-a-thons,2017,Hacking Academic Collaboration with GLAM Edit-a-thons
SJ Jankowski,The Trouble with Knowing: Wikipedian consensus and the political design of encyclopedic media,2021,Wikipedian consensus and the political design of encyclopedic media
Y Maciá Martínez,Mujeres de categoría: Utilización de los principios y estándares de los datos enlazados (linked open data) para visualizar las biografías de mujeres en la Viquipèdia,2022,"MUJERES DE
CATEGORÍA"
D Auger-Domínguez,Inclusion revolution: The essential guide to dismantling racial inequity in the workplace,2024,nan
H Steinert,Feministische Kritik an und in der Wikipedia,2023,kritische berichte-Zeitschrift für Kunst-und …
L Ursachi,Wikipedia în educația universitară și rolul bibliotecarului de referințe,2020,Biblioteca
АИ Земскова,"Библиотеки и Википедия. Часть 1. Возможности сотрудничества публичных, вузовских и научных библиотек с Википедией",2017,Научные и технические библиотеки
Á Conlon,Capturing art: exploring the role of the academic art librarian in the modern world,2020,"Capturing Art: Exploring the Role of the Academic Art Librarian in the
Modern World"
A Foster-Kaufman,Wikipedia-based assignments and critical information literacy: A case study,2019,Wikipedia-Based Assignments and Critical Information Literacy
A Lockett,The traditional research paper is best,2017,BAD IDEAS
A Pawłowska,What is History of Art in the 20 th and 21 st Century–a Few Theoretical Problems,2019,"What is History of Art in the 20th and 21st
Century – a Few Theoretical Problems"
"A Sharrocks, C Qualmann",Walking women: A study room guide on women using walking in their practice,2017,"WALKING WOMEN
A Study Room Guide on women using walking
in their practice"
AD Purcell,"IAWA Archivist's Report, 2018",2018,"IAWA Archivist’s Report, January-December 2018"
AM Kermarrec,W comme Wikipédia,2021,Hors collection
"B Madden, A Scholten",Cookbook of Remote and Hybrid Instructional Strategies in Art History,2020,"Cookbook of Remote and Hybrid
Instructional Strategies in Art History"
