Authors,Title,Year,Source,local_filename,moved
A Berberoğlu,Quoting artworks: Historical development of art appropriation,2013.0,,A_Berberoğlu_Quoting_artworks_Historical_development_of_art_appropriation.pdf,True
A Brun del Re,Fabulations lectorales: inclusion et exclusion du lecteur dans la littérature franco-canadienne,2019.0,,A_Brun_del_Re_Fabulations_lectorales_inclusion_et_exclusion_du_lecteur_dans_la_littérature_franco-canadienne.pdf,True
A General,Nuevos conceptos fotográficos en la era digital,,aacadigital.com,A_General_Nuevos_conceptos_fotográficos_en_la_era_digital.pdf,True
A GILBERT,› WIKABILITY‹ ÜBER DIE WIKIPEDIA ALS NEUE KONSEKRATIONSINSTANZ IM LITERARISCHEN FELD.,2023.0,Jahrbuch der Deutschen Schillergesellschaft,A_GILBERT_›_WIKABILITY‹_ÜBER_DIE_WIKIPEDIA_ALS_NEUE_KONSEKRATIONSINSTANZ_IM_LITERARISCHEN_FELD..pdf,True
A Monteiro,CITAÇÃO PLÁGIO MENTIRA ROUBO estratégias da produção contemporânea: apropriações e rearticulações,,academia.edu,A_Monteiro_CITAÇÃO_PLÁGIO_MENTIRA_ROUBO_estratégias_da_produção_contemporânea_apropriações_e_rearticulações.pdf,True
A Vink,Postmodern artists: Creators of a cultural movement,2018.0,,A_Vink_Postmodern_artists_Creators_of_a_cultural_movement.pdf,False
A Wallace,"Arts in IP law programmes: employing arts study, practice and pedagogy in law programmes-when students become creators",2023.0,Teaching Intellectual Property Law,"A_Wallace_Arts_in_IP_law_programmes_employing_arts_study,_practice_and_pedagogy_in_law_programmes-when_students_become_creators.pdf",True
AJ Blatt,Telling pictures: The traffic of images in contemporary French fiction,2005.0,,AJ_Blatt_Telling_pictures_The_traffic_of_images_in_contemporary_French_fiction.pdf,True
AJ Bottomley,Internet radio: a history of a medium in transition,2016.0,,AJ_Bottomley_Internet_radio_a_history_of_a_medium_in_transition.pdf,True
AJ Rüst,FEMINIZM4ALL: a framework for feminist technology intervention,2008.0,,AJ_Rüst_FEMINIZM4ALL_a_framework_for_feminist_technology_intervention.pdf,True
"ANO LETIVO, PEP DE DESENVOLVIMENTO",SO185–Sociologia da Tecnologia I: vida eletrônica,,pedroferreira.net.br,ANO_LETIVO__PEP_DE_DESENVOLVIMENTO_SO185–Sociologia_da_Tecnologia_I_vida_eletrônica.pdf,True
B Güner,Çağdaş sanatta müellif sorunsalı,2013.0,,B_Güner_Çağdaş_sanatta_müellif_sorunsalı.pdf,True
B Racioppe,Tecnologías digitales y actitud copyleft,2016.0,Luciérnaga,B_Racioppe_Tecnologías_digitales_y_actitud_copyleft.pdf,True
B Tapia Peralta,De lo virtual y lo real: apuntes para una estética de lo inmanente en el arte contemporáneo,2011.0,,B_Tapia_Peralta_De_lo_virtual_y_lo_real_apuntes_para_una_estética_de_lo_inmanente_en_el_arte_contemporáneo.pdf,True
"C Bobb, A Română",Câteva reflecţii asupra începuturilor hermeneuticii ricoeuriene,,Revista Irregular F,C_Bobb__A_Română_Câteva_reflecţii_asupra_începuturilor_hermeneuticii_ricoeuriene.pdf,True
C Fuchs,Social media: A critical introduction,2021.0,,C_Fuchs_Social_media_A_critical_introduction.pdf,True
C Fuchs,Soziale Medien und Kritische Theorie: Eine Einführung,2021.0,,C_Fuchs_Soziale_Medien_und_Kritische_Theorie_Eine_Einführung.pdf,False
"C Fuchs, M Sandoval","Critique, social media and the information society",2014.0,,"C_Fuchs__M_Sandoval_Critique,_social_media_and_the_information_society.pdf",True
"C Fuchs, M Sandoval","Introduction: Critique, social media and the information society in the age of capitalist crisis",2013.0,"Critique, social media and the information …","C_Fuchs__M_Sandoval_Introduction_Critique,_social_media_and_the_information_society_in_the_age_of_capitalist_crisis.pdf",True
C Petronis,Blurring Contagion in the Information Age: How COVID-19 Troubles the Boundaries of the Biomedical and Socioinformatic,2021.0,Duke UP,C_Petronis_Blurring_Contagion_in_the_Information_Age_How_COVID-19_Troubles_the_Boundaries_of_the_Biomedical_and_Socioinformatic.pdf,True
CM Miller,Landscapes of Mothering: Creating Maternal Identity Through Story,2018.0,,CM_Miller_Landscapes_of_Mothering_Creating_Maternal_Identity_Through_Story.pdf,True
"CP Salgado, R Barbanti, K Paparrigopoulos…",Art i decreixement,2016.0,,CP_Salgado__R_Barbanti__K_Paparrigopoulos..._Art_i_decreixement.pdf,False
"D De Roure, P Willcox",Scholarly social machines: A web science perspective on our knowledge infrastructure,2020.0,Proceedings of the 12th ACM Conference on …,D_De_Roure__P_Willcox_Scholarly_social_machines_A_web_science_perspective_on_our_knowledge_infrastructure.pdf,True
D Vagianos,"Digital Media and Society [Undergraduate textbook]. Kallipos, Open Academic Editions",2024.0,,"D_Vagianos_Digital_Media_and_Society_[Undergraduate_textbook]._Kallipos,_Open_Academic_Editions.pdf",True
DSN Hora,"Teoria da arte hacker: estética, diferença e transgressão tecnológica",2016.0,,"DSN_Hora_Teoria_da_arte_hacker_estética,_diferença_e_transgressão_tecnológica.pdf",True
